id,class,language,source,topic,year,title,text,url,
1,false,pt,webpage,political,2017,"Kátia Abreu diz que vai colocar sua expulsão em uma moldura, mas não para de reclamar. ","Kátia Abreu diz que vai colocar sua expulsão em uma moldura, mas não para de reclamar. A senadora Kátia Abreu (sem partido-TO) disse que sua expulsão do PMDB foi resultado de uma ação da cúpula atual da legenda que, segundo ela, é oportunista.?Amanhã eu vou botar numa moldura dourada a minha expulsão, porque das mãos de onde veio, é um atestado de boa conduta para o meu currículo. Essas pessoas que me expulsaram não servem ao país. Eles se servem do país em seus benefícios próprios?, disse Kátia Abreu. Ué, mas se a expulsão é algo tão bom para seu currículo, por que tanta choradeira, Kátia? Sabemos o motivo. Provavelmente Kátia não tem valor para o PT, partido que já deveria tê-la absorvido. Ao que parece o PT gostava de Kátia somente se ela ficasse entrincheirada dentro do PMDB. Ou seja, isso é se rebaixar demais. Resta a Kátia ficar chorando as pitangas por todos os cantos. Em tempo: até o momento o PT não cadastrou Kátia Abreu em suas fileiras. Que situação patética para a ex-ministra da Agricultura de Dilma.",https://ceticismopolitico.com/2017/11/30/katia-abreu-diz-que-vai-colocar-sua-expulsao-em-uma-moldura-mas-nao-para-de-reclamar/,
2,false,pt,webpage,political,2017,Cara de pau não tem limites: Zé Celso aciona MP contra Silvio Santos.,"Cara de pau não tem limites: Zé Celso aciona MP contra Silvio Santos. O Teatro Oficina procurou o Ministério Público Federal (MPF) nesta terça-feira na tentativa de violar os direitos de Silvio Santos, que deseja erguer três torres residenciais de cem metros de altura cada uma. As informaç?es são da Veja.O empresário é dono dos terrenos em volta do teatro e executa seu direito de propriedade, negando-se a trocá-los por outros, oferta feita a ele pelo Ministério do Planejamento. O grupo teatral, que fez sua sede no local há cerca de sessenta anos e ocupa um prédio que leva a assinatura de Lina Bo Bardi (a mesma do Masp e do Sesc Pompeia), alega danos ao projeto da arquiteta, que prevê a contracenação com o bairro do Bexiga e a cidade através do janelão aberto em uma das paredes do edifício e inclui ainda um parque cultural, que ela não chegou a fazer por ter morrido antes de concluir a proposta. A procura pelo Ministério Público Federal é uma nova estratégia de desrespeito à propriedade privada feita pelo grupo teatral, depois que Silvio Santos deixou de aceitar as provocaç?es e rompeu o diálogo com a companhia. Em outubro, Silvio Santos reverteu decisão ainda de 2016 do Condephaat, o órgão estadual de proteção ao patrimônio público, que o impedia de construir em volta do Teatro Oficina. Agora, para levar seu projeto imobiliário adiante, busca o mesmo aval nos níveis municipal e federal. É por isso que João Doria pisou na bola ao ter feito uma reunião no passado com Zé Celso e Silvio Santos. Com gente que não respeita a propriedade privada, não deve haver diálogo. Que Silvio Santos vá pra briga, pois tem seus direitos de proprietário.",https://ceticismopolitico.com/2017/11/28/cara-de-pau-nao-tem-limites-ze-celso-aciona-mp-contra-silvio-santos/,
3,false,pt,webpage,political,2017,"Temer resolve o problema de Luislinda: liberdade, ainda que tardia.","Temer resolve o problema de Luislinda: liberdade, ainda que tardia.. A ministra dos Direitos Humanos Luislinda Valois entrou para a galeria dos sem noção ao pedir para acumular o salário da função de ministra com a aposentadoria de desembargadora, o que daria R$ 61 mil, muito além do teto constitucional. Ao fazê-lo, alegou que sua condição, sem sombra de dúvida, se assemelha a trabalho escravo. Agora o jornal carioca O Dia divulga que Temer decidiu demitir Luislinda e dar um fim ao seu problema. Ao que parece, o presidente ainda busca uma saída honrosa para Luislinda. Talvez outro cargo. Não sabemos ainda.Sua substituta deve ser a deputada federal licenciada Tia Eron (PRB), atual secretária municipal de Promoção Social.O que importa é que Luislinda, enfim, conseguiu sua liberdade. Ainda que tardia.",https://ceticismopolitico.com/2017/11/27/temer-resolve-o-problema-de-luislinda-liberdade-ainda-que-tardia/,
4,false,pt,webpage,political,2017,Palocci vai contar que Lula pagou propina a ex-presidente do Peru e aumentar a pressão sobre o petista.,"Palocci vai contar que Lula pagou propina a ex-presidente do Peru e aumentar a pressão sobre o petista.. O Radar Online divulga que em sua delação, Antônio Palocci vai confirmar o pedido para que a Odebrecht pagasse 3 milh?es de dólares a Ollanta Humala, ex-presidente do Peru, atualmente preso.Só que o ex-ministro tem informaç?es adicionais e vai dizer que a ordem veio diretamente de Lula, que, de fato, era o maior elo de ligação do poder com a empreiteira.A delação de Palocci segue sendo temida pelos petistas e panela de pressão pode explodir nos próximos meses.",https://ceticismopolitico.com/2017/11/25/palocci-vai-contar-que-lula-pagou-propina-a-ex-presidente-do-peru/,
5,false,pt,webpage,political,2017,Garotinho ganha prêmio após teatro sobre ?surra na cadeia?: vai para presídio de segurança máxima.,"Garotinho ganha prêmio após teatro sobre surra na cadeia: vai para presídio de segurança máxima.. O ex-governador do Rio de Janeiro Anthony Garotinho será transferido para um presídio de segurança máxima.O juiz Ralph Machado Manaes Júnior, do Tribunal Regional Eleitoral da 98a Zona Eleitoral do Rio de Janeiro, deu a decisão na tarde desta sexta (24) para o ex-governador ser transferido imediatamente do presídio de Benfica para um presídio federal de segurança máxima. As informaç?es são do O Globo.O juiz disse, em sua decisão, que Garotinho causando transtornos em Benfica e teria se autolesionado. Isso foi descoberto após Garotinho ter dito que foi agredido na cadeia durante a noite. O juiz recebeu essas informaç?es antes da queixa de Garotinho.Garotinho disse que tomou uma surra durante a noite dentro de sua cela na penitenciária de Benfica. O advogado do ex-governador disse que seu cliente relatou que uma pessoa invadiu a cela onde ele dormia e o agrediu com um porrete.Seja lá como for, se o problema é segurança, está resolvido. Agora ele vai para um lugar de segurança máxima.",https://ceticismopolitico.com/2017/11/24/garotinho-ganha-premio-apos-teatro-sobre-surra-na-cadeia-vai-para-presidio-de-seguranca-maxima/,
6,false,pt,webpage,political,2017,Raquel Dodge faz o que Janot não fazia: pediu a prisão da senadora petista Gleisi.,"Raquel Dodge faz o que Janot não fazia: pediu a prisão da senadora petista Gleisi. A procuradora-geral da República, Raquel Dodge, pediu a condenação da senadora petista Gleisi Hoffmann no âmbito da Lava Jato. Para a PGR, Gleisi cometeu crimes de corrupção passiva e lavagem de dinheiro.Detalhe: Dodge também quer que Gleisi devolva R$ 4 milh?es aos cofres públicos e perca o mandato.Abaixo estão as alegaç?es de Raquel Dodge:Ao que parece, com a saída do PGR Rodrigo Janot passou a fase em que havia motivação apenas para tentar prender senadores que fossem adversários do PT.Estamos exigindo a prisão de Gleisi Hoffmann há muito, mas muito tempo.",https://ceticismopolitico.com/2017/11/24/raquel-dodge-faz-o-que-janot-nao-fazia-pediu-a-prisao-da-senadora-petista-gleisi/,
7,false,pt,webpage,political,2017,Garotinho se supera no teatro ao chutar parede e fingir que foi lesionado na cadeia.,"Garotinho se supera no teatro ao chutar parede e fingir que foi lesionado na cadeia. O Globo noticiou que a Secretaria de Administração Penitenciária (Seap) informou à Vara de Execuç?es Penais (VEP) do Rio que Anthony Garotinho se autolesionou dentro de sua cela na Cadeia Pública José Frederico Marques, em Benfica, na Zona Norte do Rio.O sujeitinho disse que foi agredido durante a madrugada desta sexta-feira por uma pessoa que estava com um porrete.Bem, esse é o mesmo que deu teatro na maca meses atrás, em sua outra prisão, após a qual ele conseguiu liberdade.Bem, ele conseguiu se mostrar como o mais repugnante de todos os políticos presos só com essas duas atitudes.É uma figura assustadora em termos de fingimento. Psicopata é pouco pra descrever.",https://ceticismopolitico.com/2017/11/24/garotinho-se-supera-no-teatro-ao-chutar-parede-e-fingir-que-foi-lesionado-na-cadeia/,
8,false,pt,webpage,political,2017,Joesley chorou ao entrar na cela e está sem comer e tomar banho.,"Joesley chorou ao entrar na cela e está sem comer e tomar banho. O delator Joesley Batista chorou no momento em que os agentes abriram a cela da carceragem da superintendência da Polícia Federal em São Paulo para que ele entrasse após se entregar na tarde deste domingo.Ao ouvir o barulho da grade fechando ele começou a chorar compulsivamente e a tremer. Seus colegas de cela tentaram o consolar mas ele teve uma crise nervosa e precisou ser medicado. Optou por não tomar banho (frio) nem se alimentar (marmita). O carcereiro chegou a brincar com ele dizendo que o bife era de confiança, que era Friboi, mas ele sequer levantou a cabeça.A Coluna apurou que Joesley e o executivo da JBS Ricardo Saud devem ser transferidos para Brasília na segunda-feira, 10, em aeronave da Polícia Federal.Os dois foram presos por determinação do ministro Edson Fachin, do Supremo, atendendo a pedido do procurador-geral da República, Rodrigo Janot. Eles são acusados de omitir informaç?es no acordo de delação premiada. A prisão é temporária, com prazo de cinco dias prorrogáveis por mais cinco.",https://afolhabrasil.com.br/politica/joesley-chorou-ao-entrar-na-cela-e-esta-sem-comer-e-tomar-banho/,
9,false,pt,webpage,political,2017,Aécio chora muito e tem medo de ir para a cadeia. ,"Aécio chora muito e tem medo de ir para a cadeia. Ricardo Noblat, em sua coluna no Globo, informou que Aécio Neves chorou muito ao saber que a 1a turma do STF decidiu manter sua irmã, Andrea Neves, presa. Pessoas próximas do senador disseram que ele está inconformado e também com muito medo de ser preso. Na próxima quarta-feira (20), a mesma turma que decidiu manter Andrea presa julgará o pedido de prisão (feito pela PGR) contra Aécio Neves. Vale ressaltar que, caso o pedido seja aprovado, o Senado ainda terá que autorizar a prisão do parlamentar.Andrea Neves é considerada a mentora intelectual da carreira política do tucano e estava pronta para empreender fuga para a Inglaterra quando foi capturada pela Operação Patmos da Polícia Federal.O mundo de Aécio desabou literalmente. De acordo com a revista Veja, o político não quer falar com ninguém [?] atende pouquíssimas ligaç?es em seu celular (algo óbvio, já que o aparelho está grampeado pela PF) e tem alternado entre crises de choro e várias ?talagadas? de uísque.",https://afolhabrasil.com.br/politica/aecio-chora-muito-e-tem-medo-de-ir-para-cadeia/,
10,false,pt,webpage,political,2017,Veja aqui o telefone e o e-mail de Gilmar Mendes,Veja aqui o telefone e o e-mail de Gilmar Mendes. Demonstre sua indignação! Gilmar Mendes conseguiu livrar Michel Temer e Dilma Rousseff da condenação. Em seu juízo a chapa Dilma/Temer é honesta e estes dois brasileiros merecem o respeito da nação. Eles estão de posse de seus direitos políticos e poderão voltar em 2018. Dilma já anunciou que se candidatará a senadora da república. Michel Temer pode voltar até como presidente. Não permita que este julgamento vergonhoso passe em branco. Envie mensagens pro e-mail de Gilmar Mendes ou até mesmo telefone para ele manifestando toda sua indignação. Seguem aqui os contatos do ministro que envergonhou o Brasil.MINISTRO GILMAR MENDES Telefone: (61) 3217-4175 E-mail: mgilmar@stf.jus.br E-mail: audienciasgilmarmendes@stf.jus.br,https://afolhabrasil.com.br/politica/veja-aqui-o-telefone-e-e-mail-de-gilmar-mendes-demonstre-sua-indignacao/,
